stateabb,syear
USA,2021
CAN,2015
BHM,2017
CUB,2008
HAI,2017
DOM,2020
JAM,2016
TRI,2015
BAR,2018
DMA,2004
GRN,2013
SLU,2016
SVG,2001
AAB,2014
SKN,2015
MEX,2018
BLZ,2020
GUA,2020
HON,2014
SAL,2019
NIC,2007
COS,2018
PAN,2019
COL,2018
VEN,2013
GUY,2020
SUR,2020
ECU,2017
PER,2020
BRA,2019
BOL,2020
PAR,2018
CHL,2018
ARG,2019
URU,2020
UKG,2019
IRE,2020
NTH,2010
BEL,2020
LUX,2013
FRN,2017
MNC,2005
LIE,1989
SWZ,2021
SPN,2018
AND,2019
POR,2016
GMY,2005
GFR,1974
GDR,1989
POL,2015
AUS,2020
HUN,2010
CZE,1992
CZR,2017
SLO,2021
ITA,2021
SNM,2021
MLT,2020
ALB,2013
MNG,2020
MAC,2020
CRO,2016
YUG,2017
BOS,2020
KOS,2021
SLV,2020
GRC,2019
CYP,2013
BUL,2017
MLD,2021
ROM,2014
RUS,2000
EST,2021
LAT,2019
LIT,2019
UKR,2019
BLR,1994
ARM,2018
GRG,2021
AZE,2003
FIN,2019
SWD,2014
NOR,2013
DEN,2019
ICE,2017
CAP,2016
STP,2016
GNB,2020
EQG,1979
GAM,2017
MLI,2020
SEN,2012
BEN,2016
MAA,2019
NIR,2021
CDI,2011
GUI,2010
BFO,2015
LBR,2018
SIE,2018
GHA,2017
TOG,2005
CAO,1982
NIG,2015
GAB,2009
CEN,2016
CHA,2021
CON,1997
DRC,2019
UGA,1986
KEN,2013
TAZ,2021
BUI,2020
RWA,1994
SOM,2017
DJI,1999
ETH,2018
ERI,1993
ANG,2017
MZM,2015
ZAM,2015
ZIM,2017
MAW,2020
SAF,2018
NAM,2015
LES,2020
BOT,2018
SWA,1986
MAG,2019
COM,2019
MAS,2017
SEY,2020
MOR,1999
ALG,2019
TUN,2019
LIB,2021
SUD,2019
SSD,2011
IRN,2013
TUR,2003
IRQ,2020
EGY,2014
SYR,2000
LEB,2020
JOR,1999
ISR,2009
SAU,2015
YAR,1978
YEM,2015
YPR,1986
KUW,2020
BAH,1999
QAT,2013
UAE,2004
OMA,2020
AFG,2014
TKM,2006
TAJ,1992
KYR,2021
UZB,2016
KZK,2019
CHN,2012
MON,2017
PRK,2011
ROK,2017
JPN,2020
IND,2014
BHU,2018
PAK,2018
BNG,2009
MYA,2021
SRI,2019
MAD,2018
NEP,2018
THI,2014
CAM,1997
LAO,2021
DRV,2021
RVN,1975
MAL,2020
SIN,2004
BRU,1967
PHI,2016
INS,2014
ETM,2017
AUL,2018
PNG,2019
NEW,2017
VAN,2020
SOL,2019
KIR,2016
TUV,2019
FIJ,2007
TON,2019
NAU,2019
MSI,2020
PAL,2021
FSM,2019
WSM,1998
